env_temp,env_humid,diss_ox,ph_level,turbidity,tot_diss_solid,water_temp,hardness,wqi,sep
38.28,63.62,7,3.72,4.5,18630.06,33.28,129.42,154.53,0
34.78,73.03,7,8.31,18,251.19,29.78,422.09,47.38,1
34.47,75.31,6,5.51,2.78,21543.73,29.47,164.5,121.58,0
34.47,75.02,7,7.3,18,283.51,29.47,454.77,43.98,1
36.59,67.15,6,6.73,16,143.11,31.59,307.17,65.11,1
33.19,69.04,7,6.96,16,67.95,28.19,228.33,87.59,1
36.39,66.4,6,6.71,18,28.73,31.39,193.62,103.3,1
35.1,72.51,6,7.5,16,297.23,30.1,464.44,43.06,1
34.83,73.52,7,7.68,17,83.11,29.83,252.97,79.06,1
33.6,76.64,6,9.56,3.18,17156.34,28.6,251.81,79.43,0
33.66,76.44,2,4.08,2.97,20555.97,28.66,201.94,99.04,0
34.03,73.14,7,7.37,16,304.13,29.03,470.7,42.49,1
31.54,74.58,7,6.66,16,69.86,26.54,232.18,86.14,1
38.73,63.76,7,7.2,18,99.85,33.73,268.27,74.55,1
36.84,64.88,7,7.35,17,44.66,31.84,209.57,95.43,1
32.26,75.65,6,6.86,17,148.4,27.26,313.43,63.81,1
38.27,63.04,6,6.8,18,141.34,33.27,306.72,65.21,1
33.85,76.7,6,8.36,3.72,28722.18,28.85,218.14,91.68,0
32.17,76.17,7,6.9,17,69.86,27.17,236.27,84.65,1
36.2,70.1,6,7,2.85,42617.3,31.2,155.26,128.81,0
34.02,74.12,6,7.33,17,99.85,29.02,267.34,74.81,1
35.26,68.87,6,7.41,18,14.51,30.26,180.31,110.92,1
36.85,66.92,9,6.06,4.37,25842.58,31.85,224.84,88.95,0
36.96,67.08,6,6.88,17,205.39,31.96,371.27,53.87,1
33.33,73.44,7,6.99,18,26.71,28.33,193.8,103.2,1
32.63,75.71,6,6.97,18,24.69,27.63,191.63,104.37,1
34,74.12,7,7.27,17,225.77,29,394.16,50.74,1
34.03,74.9,6,4.98,3.44,24167.84,29.03,240.81,83.05,0
29.35,78.65,7,6.92,17,136.02,24.35,299.29,66.82,1
37.56,65.95,10,7.99,4.34,17076.66,32.56,230.18,86.89,0
33.82,77.48,6,9.04,3.71,34353.84,28.82,227.36,87.97,0
33.48,77.12,9,9.87,3.65,27912.91,28.48,114.37,174.87,0
35.08,73.1,6,6.04,4.91,13593.6,30.08,150.67,132.74,0
34.31,75.35,6,7.31,16,281.8,29.31,450.08,44.44,1
35.19,67.9,6,7.08,16,20.64,30.19,183,109.29,1
34.93,73.29,6,7.36,3.93,28263.31,29.93,215.64,92.75,0
33.94,74.12,7,6.98,17,244.41,28.94,412.39,48.5,1
37.45,65.95,7,7.92,16,186.59,32.45,353.36,56.6,1
34.48,76.39,7,7.38,16,69.86,29.48,240.59,83.13,1
34.98,73.39,7,6.71,18,109.02,29.98,279.08,71.66,1
33.51,76.54,8,4.76,4.58,19197.11,28.51,150.07,133.27,0
33.36,76.77,6,9.49,3.63,28492.17,28.36,254.53,78.57,0
38.77,63.46,8,7,5.03,24108.13,33.77,196.33,101.87,0
33.7,77.28,7,7,4.37,11582.46,28.7,161.58,123.78,0
33.57,76.64,8,5.14,3.1,32740.56,28.57,180.38,110.88,0
32.45,75.9,6,6.81,18,64.11,27.45,230.72,86.69,1
34.28,72.23,7,7.33,17,98.01,29.28,265.13,75.43,1
35.44,71.47,6,7.78,16,10.39,30.44,177.52,112.66,1
33.51,76.64,6,7.99,18,132.46,28.51,303.11,65.98,1
33.67,76.34,8,6.83,3.02,31461.2,28.67,178.66,111.95,0
32.95,69.47,7,6.98,16,71.77,27.95,232.12,86.16,1
39.19,62.08,7,3.51,3.76,23029.66,34.19,158.73,126,0
32.79,74.3,7,6.79,18,20.64,27.79,187.31,106.77,1
39.52,61.15,11,7.75,2.51,29331.24,34.52,239.79,83.41,0
33.89,76.31,9,7.91,2.88,34808.44,28.89,211.38,94.62,0
33.6,77.22,8,10.89,3.63,25702.52,28.6,177.73,112.53,0
38.57,62.34,6,10.68,4,15758.74,33.57,173.38,115.36,0
31.25,73.04,6,6.83,17,66.03,26.25,226.4,88.34,1
33.63,77.03,9,7,3.91,8692.54,28.63,180.68,110.69,0
31.07,80.05,6,8.54,16,190.02,26.07,357.75,55.9,1
33.31,76.77,12,8.19,3.71,18432.48,28.31,156.33,127.94,0
34.02,72.95,7,7.68,16,121.71,29.02,288.38,69.35,1
37.26,66.86,5,5.49,4.22,20162.02,32.26,179.21,111.6,0
33.6,76.93,6,8.46,3.83,29317.14,28.6,241.77,82.72,0
36.14,68.09,7,7.63,17,162.4,31.14,329.4,60.72,1
35.39,71.8,6,7.28,18,18.6,30.39,187.46,106.69,1
35.04,71.54,7,7.33,17,24.69,30.04,192.64,103.82,1
37.22,66.86,7,5.74,3.17,28392,32.22,173.85,115.04,0
33.82,76.79,6,7.39,17,18.6,28.82,188.42,106.15,1
37.67,64.11,7,4.87,3.92,16960.43,32.67,224.71,89.01,0
35.12,73.19,9,7.58,3.64,36343.41,30.12,217.28,92.05,0
35.1,71.34,7,7.01,16,22.67,30.1,189.22,105.7,1
38.28,63.43,5,7.12,3.74,18463.88,33.28,193.71,103.25,0
39.48,60.67,9,6.49,3.38,34314.09,34.48,213.07,93.87,0
38.17,65.2,7,7.24,17,118.1,33.17,285.88,69.96,1
33.79,76.6,7,6.43,3.12,26755.72,28.79,176.86,113.09,0
34.14,78.71,6,6.71,17,48.59,29.14,220.29,90.79,1
35.88,70.17,7,7.34,16,98.01,30.88,265.28,75.39,1
33.88,76.01,6,9.29,3.66,50166.53,28.88,193.06,103.59,0
34.6,71.02,7,7.41,18,8.32,29.6,175.95,113.67,1
34.28,74.67,7,7.27,17,281.8,29.28,451.3,44.32,1
33.77,75.72,6,3.82,17,77.46,28.77,242.54,82.46,1
39.17,62.66,10,6.85,3.13,20555.56,34.17,204.81,97.65,0
34.69,76.54,6,7.77,16,42.68,29.69,213.37,93.73,1
30.76,78.22,6,6.76,16,162.4,25.76,325.9,61.37,1
38.38,64.69,9,9.62,2.95,12538.97,33.38,221.76,90.19,0
37.14,67.37,7,7.25,16,116.29,32.14,283.19,70.62,1
33.84,77.09,7,7.17,3.08,14702.06,28.84,191.39,104.5,0
35.66,70.1,6,7.29,18,30.74,30.66,198.45,100.78,1
38.48,63.11,5,6.02,4.42,16656.06,33.48,221.15,90.44,0
35.61,72.92,7,7,3.59,21093.22,30.61,214.73,93.14,0
37.73,65.43,7,4.3,2.01,7323.3,32.73,227.01,88.1,0
35.05,72.71,7,6.38,2.88,24259.75,30.05,212.84,93.97,0
33.38,77.84,6,7.33,16,278.39,28.38,447.32,44.71,1
35.45,70.78,7,7.14,16,105.36,30.45,272.18,73.48,1
38.54,63.11,6,6.59,16,62.19,33.54,225.97,88.51,1
37.26,68.6,6,7.3,18,81.23,32.26,250.65,79.79,1
33.36,77.45,6,7.53,3.64,8129.73,28.36,225.34,88.75,0
33.51,76.73,8,6.35,4.94,16174.43,28.51,227.23,88.02,0
38.25,64.69,9,7,3.96,14563.68,33.25,195.84,102.13,0
33.82,76.31,6,6.93,3.88,15323.41,28.82,176.97,113.01,0
33.88,73.08,7,7.3,17,112.66,28.88,279.8,71.48,1
30.01,76.67,7,7.02,17,52.5,25.01,215.21,92.93,1
33.67,75.17,7,4.5,17,14.51,28.67,180.52,110.79,1
33.87,74.25,6,6.8,17,16.55,28.87,183.34,109.09,1
38.16,63.95,7,7,2.96,20791.32,33.16,204.89,97.61,0
37.25,65.98,6,7.15,18,34.74,32.25,201.37,99.32,1
33.57,73.8,6,6.96,16,18.6,28.57,183.5,108.99,1
36.84,68.67,7,7.05,16,62.19,31.84,229.59,87.11,1
34.5,74.34,7,6.84,18,77.46,29.5,247.64,80.76,1
34.02,72.17,6,7.35,16,304.13,29.02,468.69,42.67,1
38.58,62.04,7,2.8,3.66,26931.24,33.58,311.38,64.23,0
38.6,64.85,7,7.34,17,81.23,33.6,249.62,80.12,1
36.76,67.6,6,7.88,16,81.23,31.76,247.23,80.9,1
35.23,71.11,6,7.01,18,292.08,30.23,459.66,43.51,1
33.63,76.34,6,4.92,3.29,14126.59,28.63,162.3,123.23,0
34.37,72.91,6,6.79,18,14.51,29.37,181.95,109.92,1
39.1,62.37,9,5.06,5.11,34873.93,34.1,238.57,83.83,0
33.36,74.52,6,6.73,18,18.6,28.36,185.57,107.78,1
33.33,76.67,5,9.73,3.51,18976.23,28.33,244.93,81.66,0
34.37,73.21,6,7.33,18,325,29.37,493.28,40.54,1
33.95,72.56,7,7.22,16,16.55,28.95,182.23,109.75,1
33.61,76.34,10,7,3.35,30362.68,28.61,167.1,119.69,0
38.51,64.37,9,6.14,3.08,19981.32,33.51,210.98,94.8,0
33.95,76.76,8,5.37,3.36,27199.64,28.95,170.84,117.07,0
38.2,62.37,7,7.08,18,256.28,33.2,422.13,47.38,1
29.74,77.89,7,7.03,16,165.88,24.74,328.28,60.92,1
31.86,77,6,7,16,167.61,26.86,332.33,60.18,1
31.9,75.62,7,6.95,18,58.33,26.9,224.7,89.01,1
38.5,61.95,5,6.19,3.47,12883.73,33.5,225.68,88.62,0
38.28,65.56,3,6.56,3.79,15405.5,33.28,195.16,102.48,0
33.87,76.21,6,7.38,17,153.67,28.87,323,61.92,1
36.25,70.2,7,6.51,2.89,16982.13,31.25,226.42,88.33,0
35.97,70.72,6,5.99,4.54,28702.95,30.97,186.72,107.11,0
34.88,73.62,8,9.06,3.32,17403.53,29.88,197.67,101.18,0
33.38,76.38,7,7.6,18,20.64,28.38,191.38,104.5,1
35.61,71.47,8,6.22,4.15,15597.64,30.61,203.71,98.18,0
34.14,74.9,7,7.26,16,283.51,29.14,451.95,44.25,1
33.85,76.21,3,8.95,1.84,15189.33,28.85,205.89,97.14,0
36.38,66.6,7,8.06,16,24.69,31.38,190.11,105.2,1
33.81,76.5,6,7,4.07,22900.12,28.81,165.74,120.67,0
39.29,60.99,7,6.24,4.51,28149.41,34.29,191.91,104.22,0
33.63,76.83,8,7.18,3.9,13317.47,28.63,189.76,105.4,0
39.54,61.34,6,7.21,4.71,18493.87,34.54,204.01,98.03,0
30.32,76.63,7,7.01,16,177.99,25.32,340.27,58.78,1
32.08,71.37,7,6.8,17,73.67,27.08,235,85.11,1
34.18,73.69,6,7.3,16,304.13,29.18,470.48,42.51,1
30.59,78.56,6,7.59,16,158.91,25.59,323.24,61.87,1
38.53,63.21,9,8.24,3.09,25046.8,33.53,199.59,100.2,0
39.29,62.34,10,10.81,4.42,11848.23,34.29,209.1,95.65,0
33.61,76.25,7,7,4.51,25583.49,28.61,161.04,124.19,0
30.29,76.23,7,7.03,17,169.35,25.29,332.19,60.21,1
33.82,74.25,7,5.01,16,247.8,28.82,412.7,48.46,1
37.45,65.75,3,7.27,3.79,31161.37,32.45,155.16,128.9,0
39.51,62.6,8,5.7,3.98,27365.11,34.51,185.92,107.57,0
34.11,73.54,7,7.31,16,112.66,29.11,279.73,71.5,1
33.7,76.4,8,6.51,4.23,15147.17,28.7,223.86,89.34,0
39.15,60.72,5,5.97,5.43,16324.12,34.15,230.45,86.79,0
32.01,76.17,6,6.95,17,121.71,27.01,286.85,69.72,1
31.62,73.3,7,6.75,18,64.11,26.62,227.4,87.95,1
31.28,73.93,7,6.8,18,62.19,26.28,225.48,88.7,1
34.35,73.79,7,6.82,18,20.64,29.35,189.95,105.29,1
39.57,61.05,6,7.99,4.81,20447.49,34.57,202.09,98.96,0
33.45,76.25,7,6.22,3.49,15155.55,28.45,189.34,105.63,0
33.7,76.7,9,7,2.96,18564.37,28.7,168.04,119.02,0
39.3,61.37,7,6.55,3.44,15362.45,34.3,190.55,104.96,0
38.66,63.98,9,5.62,4.36,9028.76,33.66,215.82,92.67,0
37.54,65.75,7,7,4.39,19947.43,32.54,200.32,99.84,0
39.85,59.58,6,5.74,3.32,26831.61,34.85,188.22,106.26,0
33.38,76.57,6,7.82,3.84,22308.82,28.38,208.64,95.86,0
38.36,62.95,6,8.98,2.44,19460.4,33.36,279.36,71.59,0
35.37,70.82,6,6.64,16,107.19,30.37,272.39,73.42,1
39.41,61.76,8,7,4.41,16963.63,34.41,157.8,126.74,0
33.58,76.64,9,7,3.89,26148.54,28.58,168.41,118.76,0
33.29,77.94,7,7.37,18,99.85,28.29,271.74,73.6,1
33.72,77.19,7,7.56,18,139.57,28.72,311.76,64.15,1
39.54,60.57,8,5.9,4.59,25394.1,34.54,201.86,99.08,0
34.81,74.4,7,6.97,3.03,19207.31,29.81,205.98,97.1,0
31.36,72.45,6,6.79,16,71.77,26.36,230.73,86.68,1
35.3,68.38,7,6.73,17,73.67,30.3,238.38,83.9,1
33.44,76.87,4,7,2.29,23616.8,28.44,210.1,95.19,0
39.37,60.99,7,7.2,16,71.77,34.37,236.7,84.5,1
34.22,74.67,6,8.03,18,144.88,29.22,315.02,63.49,1
34.19,73.21,6,7.32,16,107.19,29.19,273.1,73.23,1
33.94,76.17,8,7.5,5.74,30927.39,28.94,185.81,107.64,0
34.86,73.62,6,7.1,4.91,22671.48,29.86,207.54,96.37,0
37.14,67.18,7,9.61,3.04,4544.84,32.14,231.34,86.45,0
38.62,63.31,6,7.19,18,83.11,33.62,249.85,80.05,1
33.88,77.77,8,5.81,3.44,25419.55,28.88,151.88,131.69,0
38.42,62.17,5,7,3.51,11703.92,33.42,233.86,85.52,0
33.65,77.12,8,4.89,3.23,38633.31,28.65,159.32,125.54,0
33.13,74.26,7,6.76,18,20.64,28.13,187.92,106.43,1
38.7,61.85,7,6.79,17,109.02,33.7,274.06,72.98,1
36.82,68.67,7,7.6,3.5,32869.47,31.82,188.37,106.17,0
38.85,61.63,7,5.87,4.69,22244.22,33.85,207.73,96.28,0
30.95,76.95,7,7.49,17,232.55,25.95,397.89,50.27,1
33.28,77.65,7,6.74,17,20.64,28.28,190.59,104.94,1
35.31,72.47,6,7.25,18,79.35,30.31,248.69,80.42,1
34.18,73.4,7,7.35,17,99.85,29.18,267.96,74.64,1
36,70.42,10,7.74,3.01,12477.77,31,179.3,111.54,0
33.82,74.74,7,4.91,18,14.51,28.82,181.8,110.01,1
35.37,74.82,7,7.32,16,101.69,30.37,272.57,73.38,1
33.53,76.25,8,7,5.49,32328.71,28.53,184.74,108.26,0
33.48,76.34,5,7,3.69,25498.33,28.48,258.45,77.39,0
35.05,61.79,6,6.97,16,66.03,30.05,221.89,90.13,1
34.29,75.54,6,6.65,3.66,19155.73,29.29,187.95,106.41,0
30.55,75.02,7,7.06,17,66.03,25.55,228.21,87.64,1
33.32,77.55,7,7.78,5.05,24789.35,28.32,196.82,101.62,0
33.57,76.44,5,5.51,4.57,12137.1,28.57,192.23,104.04,0
31.36,72.75,6,6.8,17,71.77,26.36,232.04,86.19,1
37.94,65.43,6,7.31,17,73.67,32.94,240.29,83.23,1
34.37,75.54,7,6.97,17,105.36,29.37,275.61,72.57,1
33.72,76.6,4,7,4.12,29508.49,28.72,201.83,99.09,0
36.22,69.13,6,7,4.91,32951.32,31.22,204.38,97.85,0
39.34,61.47,8,6.1,3.17,20416.84,34.34,237.92,84.06,0
30.93,73.71,6,6.74,18,60.26,25.93,221.57,90.26,1
34.56,75.02,6,8.94,5.17,23774.26,29.56,218.39,91.58,0
33.95,77.25,7,8.38,5.7,27824.19,28.95,248.13,80.6,0
34.02,76.76,9,7,3.77,27687.74,29.02,149.04,134.19,0
38.84,63.56,7,7.31,18,99.85,33.84,268.4,74.52,1
32.86,74.88,6,6.88,17,24.69,27.86,190.17,105.17,1
32.61,70.71,7,6.76,16,66.03,27.61,226.72,88.21,1
33.77,77.09,8,7.1,4.42,4425.43,28.77,249.59,80.13,0
38.41,63.72,7,7.34,17,79.35,33.41,246.23,81.22,1
36.39,70.1,8,7,3.39,8721.23,31.39,158.7,126.03,0
33.39,76.48,9,6.56,4.22,30660.21,28.39,164.64,121.48,0
35.13,73,6,5.29,4.55,21776.17,30.13,194.06,103.06,0
29.95,76.41,6,7.05,16,169.35,24.95,329.71,60.66,1
34.1,74.02,7,6.79,18,20.64,29.1,189.65,105.46,1
32.67,74.49,6,6.84,16,20.64,27.67,184.31,108.51,1
33.44,76.77,7,9.35,3.62,13749.6,28.44,201.63,99.19,0
31.41,74.22,7,6.69,18,71.77,26.41,235.5,84.93,1
39.71,59.89,6,6.95,4.82,36438.31,34.71,220.96,90.51,0
35.03,72.9,6,6.74,18,73.67,30.03,242.37,82.52,1
33.53,76.64,10,6.36,4.04,9844.7,28.53,207.42,96.42,0
38.98,61.4,9,6.49,4.59,34864.43,33.98,225.48,88.7,0
33.65,76.83,10,5.7,5.96,17121.51,28.65,170.5,117.3,0
33.48,76.73,4,10.16,3.53,16522.72,28.48,243.61,82.1,0
33.61,76.64,6,6.84,3.41,41408.11,28.61,184.39,108.46,0
33.72,76.4,7,7.5,18,60.26,28.72,231.6,86.36,1
33.91,76.6,9,5.17,4.61,12060.01,28.91,135.71,147.37,0
33.35,77.36,7,7.3,18,274.98,28.35,446.34,44.81,1
35.42,72.09,7,7.52,17,105.36,30.42,274.81,72.78,1
38.28,64.4,7,7.3,16,73.67,33.28,239.93,83.36,1
33.76,76.89,5,7.91,3.89,16461.5,28.76,190.43,105.03,0
33.82,73.47,7,7.28,16,98.01,28.82,264.4,75.64,1
33.53,76.44,9,7.99,3.65,16746.8,28.53,191.94,104.2,0
36.66,66.08,6,7.31,18,28.73,31.66,194.44,102.86,1
34.32,74.77,6,7.31,18,285.22,29.32,454.94,43.96,1
39.05,60.53,7,8.64,5.26,26473.71,34.05,201.57,99.22,0
33.57,76.64,8,5.6,3.9,36873.56,28.57,207.9,96.2,0
33.69,76.31,6,6.8,16,64.11,28.69,231.6,86.36,1
33.4,76.48,9,9.89,4.62,26436.03,28.4,128.59,155.54,0
32.79,74.2,7,6.75,16,20.64,27.79,185.17,108.01,1
31.48,76.84,6,6.98,16,165.88,26.48,329.66,60.67,1
35.61,74,7,7.31,16,110.84,30.61,281.37,71.08,1
31.55,75.07,7,7.01,17,158.91,26.55,323.09,61.9,1
33.48,76.34,5,6.89,4.57,17475.47,28.48,170.57,117.25,0
37.04,64.56,7,7.22,16,52.5,32.04,216.36,92.44,1
34.26,73.79,6,8.29,18,60.26,29.26,229.86,87.01,1
38.9,61.33,6,9.41,3.1,27948.59,33.9,216.76,92.27,0
37.97,65.11,7,5.67,3.59,20081.54,32.97,194.13,103.02,0
38.38,61.01,7,6.86,16,96.16,33.38,258.79,77.28,1
35.93,70.52,6,6.77,17,109.02,30.93,276.17,72.42,1
34.09,75.78,7,8.21,4.15,17447.99,29.09,189.94,105.3,0
34.09,76.17,7,6.81,4.4,32602.34,29.09,209.74,95.36,0
31.48,74.19,7,6.7,16,232.55,26.48,394.4,50.71,1
33.77,76.79,8,7.86,4.5,31725.49,28.77,211.31,94.65,0
33.45,77.03,8,7,4.48,28790.55,28.45,162.26,123.26,0
33.61,76.25,7,7,4.51,25583.49,28.61,161.04,124.19,0
39.64,60.96,7,6.11,3.1,45249.45,34.64,249.14,80.28,0
37.48,67.5,7,7.1,18,34.74,32.48,204.3,97.9,1
33.7,76.79,9,3.72,2.35,15900.8,28.7,199.08,100.46,0
32.86,74.59,7,6.97,16,28.73,27.86,194.01,103.09,1
39.19,61.98,7,8.09,4.07,32653.91,34.19,127.74,156.57,0
30.74,78.13,7,7.27,16,186.59,25.74,351.47,56.9,1
32.66,75.32,7,6.96,18,22.67,27.66,190.27,105.11,1
35.66,71.76,7,7.33,16,71.77,30.66,240.18,83.27,1
34.81,73.03,8,7.02,5.25,16351.23,29.81,222.11,90.04,0
39.51,60.76,8,7,4.54,18327.44,34.51,190.05,105.24,0
39.12,61.11,8,9.77,4.64,8471.68,34.12,264.27,75.68,0
33.92,76.07,6,5.41,5.68,2835.3,28.92,272.51,73.39,0
33.36,76.28,8,9,4.52,21790.01,28.36,169.23,118.18,0
38.58,63.49,9,8.1,3.06,19909.54,33.58,224.24,89.19,0
33.55,77.12,9,7,5.19,26281.3,28.55,162.98,122.72,0
34.38,73.11,7,7.39,16,256.28,29.38,423.54,47.22,1
38.58,62.92,4,7.37,2.56,25630.32,33.58,214.5,93.24,0
32.23,71.62,6,7.02,16,67.95,27.23,228.05,87.7,1
35.22,69.94,7,7.12,17,20.64,30.22,187.14,106.87,1
34.62,71.51,7,7.04,16,24.69,29.62,190.48,105,1
34.48,73.66,7,7.27,16,305.86,29.48,473.75,42.22,1
37.25,65.5,7,6.92,17,762.51,32.25,928.43,21.54,1
39.64,60.18,8,7.61,3.24,10930.06,34.64,172.2,116.15,0
33.48,77.03,7,7.4,17,139.57,28.48,309.96,64.52,1
35.23,71.01,6,7.2,18,288.65,30.23,456.32,43.83,1
37.53,66.14,7,7.21,18,56.39,32.53,224.8,88.97,1
33.67,77.03,4,9.68,3.03,26402.7,28.67,188.37,106.17,0
31.57,73.4,7,6.57,18,256.28,26.57,419.39,47.69,1
33.57,77.22,8,8.24,3.55,29461.02,28.57,214.53,93.23,0
34.35,70.47,6,7.34,16,6.25,29.35,169.76,117.81,1
34.69,74.11,7,7.37,4.08,25672.31,29.69,180.74,110.66,0
37.33,65.89,11,7.6,3.58,11459.62,32.33,214.68,93.16,0
37.38,65.69,3,6.85,3.08,40588.43,32.38,167.99,119.06,0
32.98,75.15,6,6.96,18,22.67,27.98,189.74,105.41,1
33.79,76.31,6,7.46,3.88,26559.36,28.79,227,88.11,0
33.2,76.97,8,8.76,5.79,15978.04,28.2,210.85,94.85,0
37.91,65.24,6,7.21,16,118.1,32.91,283.37,70.58,1
35.27,71.6,6,6.78,16,77.46,30.27,243.38,82.18,1
38.76,62.01,6,5.33,5.09,28897.49,33.76,224.79,88.97,0
34.09,73.73,7,6.81,18,18.6,29.09,187.32,106.77,1
33.65,74.29,7,7.06,16,241.02,28.65,407.67,49.06,1
33.48,76.93,8,7.04,4.28,12575.28,28.48,229.6,87.11,0
33.82,76.5,7,6.79,18,58.33,28.82,229.26,87.24,1
33.65,74.77,6,6.81,16,18.6,28.65,184.48,108.41,1
37.94,64.37,6,4.42,18,79.35,32.94,243.02,82.3,1
38.82,65.2,6,7.25,18,99.85,33.82,268.94,74.37,1
33.84,76.21,9,6.64,3.81,13730.26,28.84,226.53,88.29,0
34.06,73.44,7,7.27,16,241.02,29.06,407.85,49.04,1
30.59,78.56,6,7.79,17,229.17,25.59,394.7,50.67,1
33.79,76.6,8,5.74,4.73,25363.02,28.79,158.32,126.33,0
34.85,62.89,7,6.97,17,60.26,29.85,218.82,91.4,1
34.06,74.12,6,7.32,16,302.4,29.06,468.96,42.65,1
36.92,67.89,6,8,4.82,20575.57,31.92,214.82,93.1,0
32.02,75.49,7,6.79,16,71.77,27.02,236.09,84.71,1
38.62,61.95,6,6.87,17,105.36,33.62,269.42,74.23,1
39.23,61.95,6,10.28,4.57,8108.3,34.23,198.55,100.73,0
32.81,75.67,6,6.96,17,24.69,27.81,190.94,104.74,1
34.93,69.49,6,6.8,16,20.64,29.93,183.79,108.82,1
34.44,71.8,7,7.19,18,20.64,29.44,188.51,106.1,1
34.94,73.58,6,7.68,18,83.11,29.94,253.25,78.97,1
30.98,74.35,7,6.74,17,67.95,25.98,230,86.96,1
33.42,77.84,6,7.02,16,52.5,28.42,221.2,90.42,1
39.37,61.27,4,8.42,3.96,13237.99,34.37,185.72,107.69,0
32.42,75.35,7,6.94,16,26.71,27.42,191.84,104.25,1
29.89,76.41,6,7.06,18,169.35,24.89,331.6,60.31,1
34.13,73.73,6,7.35,18,98.01,29.13,266.35,75.09,1
33.58,76.54,7,7,4.73,24445.99,28.58,172.97,115.63,0
33.44,76.87,4,7,2.29,23616.8,28.44,210.1,95.19,0
35.75,68.8,6,7.35,18,69.86,30.75,236.51,84.56,1
39.46,61.57,7,5.6,3.51,23930.37,34.46,162.72,122.91,0
33.7,76.6,6,4.87,3.97,15222.25,28.7,174.06,114.9,0
37.73,63.69,4,8.72,3.27,28301.52,32.73,151.62,131.91,0
33.67,77.03,8,6.43,2.9,12215.41,28.67,166.85,119.87,0
38.6,63.11,6,7.16,16,71.77,33.6,236.24,84.66,1
36.73,65.37,6,6.79,16,26.71,31.73,189.33,105.64,1
38.53,64.85,7,7.29,18,101.69,33.53,270.89,73.83,1
33.39,80.29,7,8.37,17,60.26,28.39,234.7,85.22,1
36.16,67.31,6,7.06,18,24.69,31.16,190.38,105.05,1
33.58,76.54,8,8.88,4.71,17621.39,28.58,145.28,137.67,0
30.98,74.06,6,6.68,16,66.03,25.98,225.73,88.6,1
32.37,71.73,7,7.03,18,67.95,27.37,231.45,86.41,1
33.6,77.42,6,7,3.88,17777.1,28.6,193.09,103.58,0
35.71,70.75,6,8.3,18,118.1,30.71,287.57,69.55,1
34.31,73.01,6,7.34,18,99.85,29.31,267.82,74.68,1
37.68,66.14,8,5.69,3.87,7998.67,32.68,240.71,83.09,0
34.96,71.54,6,7.14,17,16.55,29.96,183.15,109.2,1
34.86,71.08,7,6.97,18,22.67,29.86,190.44,105.02,1
39.7,60.86,7,6.38,4.14,39960.3,34.7,243.69,82.07,0
33.51,77.32,6,7,4.78,31606.35,28.51,202.61,98.71,0
32.68,75.48,7,6.96,18,26.71,27.68,194.51,102.82,1
33.73,76.6,8,8.58,4,15778.73,28.73,215.14,92.96,0
33.54,73.11,6,7,16,22.67,28.54,186.86,107.03,1
33.92,74.41,6,7.31,17,98.01,28.92,265.57,75.31,1
33.98,73.34,6,7.24,16,304.13,28.98,469.67,42.58,1
